day_unix,eth_usd_cents
1498089600,32097
1498176000,32685
1498262400,30454
1498348800,27936
1498435200,25368
1498521600,28614
1498608000,31586
1498694400,29290
1498780800,28068
1498867200,26100
1498953600,28399
1499040000,27641
1499126400,26905
1499212800,26600
1499299200,26588
1499385600,24094
1499472000,24567
1499558400,23772
1499644800,20576
1499731200,19055
1499817600,22415
1499904000,20541
1499990400,19714
1500076800,16910
1500163200,15542
1500249600,18997
1500336000,22709
1500422400,19441
1500508800,22633
1500595200,21633
1500681600,23047
1500768000,22832
1500854400,22548
1500940800,20359
1501027200,20288
1501113600,20293
1501200000,19121
1501286400,20614
1501372800,19678
1501459200,20133
1501545600,22590
1501632000,21812
1501718400,22439
1501804800,22060
1501891200,25309
1501977600,26456
1502064000,26994
1502150400,29651
1502236800,29528
1502323200,29828
1502409600,30932
1502496000,30802
1502582400,29662
1502668800,29916
1502755200,28652
1502841600,30138
1502928000,30030
1503014400,29262
1503100800,29302
1503187200,29820
1503273600,32185
1503360000,31337
1503446400,31740
1503532800,32528
1503619200,33006
1503705600,33286
1503792000,34788
1503878400,34766
1503964800,37235
1504051200,38386
1504137600,38833
1504224000,39142
1504310400,35103
1504396800,35245
1504483200,30370
1504569600,31794
1504656000,33892
1504742400,33537
1504828800,30672
1504915200,30379
1505001600,29921
1505088000,29795
1505174400,29410
1505260800,27584
1505347200,22314
1505433600,25957
1505520000,25449
1505606400,25840
1505692800,29753
1505779200,28300
1505865600,28356
1505952000,25777
1506038400,26294
1506124800,28614
1506211200,28260
1506297600,29489
1506384000,28864
1506470400,30997
1506556800,30277
1506643200,29258
1506729600,30277
1506816000,30395
1506902400,29681
1506988800,29181
1507075200,29168
1507161600,29499
1507248000,30833
1507334400,31126
1507420800,30949
1507507200,29695
1507593600,29846
1507680000,30286
1507766400,30289
1507852800,33683
1507939200,33881
1508025600,33658
1508112000,33423
1508198400,31614
1508284800,31354
1508371200,30741
1508457600,30308
1508544000,29955
1508630400,29403
1508716800,28527
1508803200,29650
1508889600,29635
1508976000,29554
1509062400,29636
1509148800,29335
1509235200,30404
1509321600,30680
1509408000,30364
1509494400,28942
1509580800,28492
1509667200,30451
1509753600,30004
1509840000,29580
1509926400,29682
1510012800,29184
1510099200,30735
1510185600,31966
1510272000,29686
1510358400,31423
1510444800,30602
1510531200,31460
1510617600,33472
1510704000,33120
1510790400,33032
1510876800,33172
1510963200,34665
1511049600,35460
1511136000,36771
1511222400,36052
1511308800,38084
1511395200,40657
1511481600,47043
1511568000,46461
1511654400,47054
1511740800,47524
1511827200,46627
1511913600,42742
1512000000,43485
1512086400,46158
1512172800,45796
1512259200,46281
1512345600,46693
1512432000,45396
1512518400,42248
1512604800,42115
1512691200,45174
1512777600,47286
1512864000,43649
1512950400,51329
1513036800,65652
1513123200,69909
1513209600,69358
1513296000,68427
1513382400,69283
1513468800,71771
1513555200,78599
1513641600,81250
1513728000,79917
1513814400,78939
1513900800,65783
1513987200,70044
1514073600,67591
1514160000,72314
1514246400,75348
1514332800,73994
1514419200,71669
1514505600,73960
1514592000,69299
1514678400,74127
1514764800,75722
1514851200,86197
1514937600,94110
1515024000,94483
1515110400,96388
1515196800,100836
1515283200,111775
1515369600,113611
1515456000,128924
1515542400,124899
1515628800,113932
1515715200,126103
1515801600,138502
1515888000,135948
1515974400,127869
1516060800,105026
1516147200,102469
1516233600,101297
1516320000,103736
1516406400,115050
1516492800,104909
1516579200,99964
1516665600,98447
1516752000,106178
1516838400,104637
1516924800,104858
1517011200,110908
1517097600,123158
1517184000,116996
1517270400,106375
1517356800,111131
1517443200,102619
1517529600,91747
1517616000,97087
1517702400,82759
1517788800,69508
1517875200,78501
1517961600,75181
1518048000,81355
1518134400,87788
1518220800,85075
1518307200,81124
1518393600,86527
1518480000,84098
1518566400,92011
1518652800,92795
1518739200,93802
1518825600,97477
1518912000,91390
1518998400,93979
1519084800,88552
1519171200,84010
1519257600,80463
1519344000,85470
1519430400,83349
1519516800,84028
1519603200,86762
1519689600,87110
1519776000,85331
1519862400,87205
1519948800,85706
1520035200,85589
1520121600,86720
1520208000,84558
1520294400,81514
1520380800,75113
1520467200,69883
1520553600,72692
1520640000,68230
1520726400,72036
1520812800,69702
1520899200,68996
1520985600,61315
1521072000,61056
1521158400,60053
1521244800,54979
1521331200,53738
1521417600,55555
1521504000,55757
1521590400,55991
1521676800,53989
1521763200,54383
1521849600,52016
1521936000,52301
1522022400,48625
1522108800,44878
1522195200,44593
1522281600,38390
1522368000,39382
1522454400,39407
1522540800,37885
1522627200,38468
1522713600,41593
1522800000,37865
1522886400,38136
1522972800,37035
1523059200,38498
1523145600,40072
1523232000,39902
1523318400,41565
1523404800,43042
1523491200,49395
1523577600,49496
1523664000,50279
1523750400,53415
1523836800,51167
1523923200,50303
1524009600,52578
1524096000,56725
1524182400,61716
1524268800,60517
1524355200,62133
1524441600,64413
1524528000,70335
1524614400,61773
1524700800,66145
1524787200,64333
1524873600,68302
1524960000,68931
1525046400,67004
1525132800,67081
1525219200,68674
1525305600,77762
1525392000,78421
1525478400,81658
1525564800,79039
1525651200,75240
1525737600,74779
1525824000,75127
1525910400,72361
1525996800,67780
1526083200,68364
1526169600,72934
1526256000,72741
1526342400,70564
1526428800,70672
1526515200,66838
1526601600,69357
1526688000,69605
1526774400,71515
1526860800,69984
1526947200,64084
1527033600,57701
1527120000,60259
1527206400,58477
1527292800,58576
1527379200,56964
1527465600,51203
1527552000,56659
1527638400,55712
1527724800,57723
1527811200,57901
1527897600,59053
1527984000,61904
1528070400,59131
